iteration,reward_mean,reward_dev,loss
500,0.0,0.0,2.7247142791748047
1000,0.0,0.0,2.8798389434814453
1500,0.0,0.0,2.2246477603912354
2000,0.0,0.0,0.7280421853065491
2500,0.0,0.0,0.9764161109924316
3000,0.0,0.0,1.0539666414260864
3500,0.0,0.0,1.542698860168457
4000,0.0,0.0,1.286941647529602
4500,1.0,3.0,2.4846506118774414
5000,0.0,0.0,2.6116912364959717
5500,1.0,3.0,1.9716150760650635
6000,0.0,0.0,2.4422781467437744
6500,0.0,0.0,0.4547264277935028
7000,3.0,4.58257569495584,2.4801924228668213
7500,1.0,3.0,1.8780735731124878
8000,0.0,4.47213595499958,1.7216709852218628
8500,-2.0,4.0,1.1649938821792603
9000,0.0,0.0,1.1413018703460693
9500,2.0,4.0,1.07306706905365
10000,4.0,6.6332495807108,0.46611079573631287
10500,1.0,3.0,0.8789798021316528
11000,0.0,0.0,1.3706305027008057
11500,5.0,8.06225774829855,0.8422661423683167
12000,1.0,3.0,0.891100287437439
12500,4.0,6.6332495807108,2.1054773330688477
13000,5.0,8.06225774829855,0.529639720916748
13500,2.0,6.0,6.475288391113281
14000,1.0,3.0,1.8439265489578247
14500,7.0,9.0,1.7359611988067627
15000,5.0,6.708203932499369,3.9351537227630615
15500,6.0,8.0,0.4839971959590912
16000,7.0,11.0,2.6204020977020264
16500,5.0,6.708203932499369,0.9927672743797302
17000,9.0,8.306623862918075,4.372341156005859
17500,3.0,4.58257569495584,1.385427713394165
18000,11.0,12.206555615733702,0.5830735564231873
18500,0.0,0.0,0.43104487657546997
19000,6.0,9.16515138991168,2.7444334030151367
19500,9.0,13.0,2.8324685096740723
20000,8.0,9.797958971132712,2.5326037406921387
20500,5.0,6.708203932499369,1.9224977493286133
21000,11.0,11.357816691600547,5.955556869506836
21500,4.0,6.6332495807108,1.071435570716858
22000,5.0,5.0,4.838423728942871
22500,12.0,11.661903789690601,1.006822943687439
23000,19.0,13.0,1.1738568544387817
23500,6.0,8.0,4.05687952041626
24000,10.0,8.94427190999916,2.3339223861694336
24500,7.0,9.0,0.8831682205200195
25000,14.0,9.16515138991168,3.476224899291992
25500,5.0,6.708203932499369,0.9057067632675171
26000,9.0,8.306623862918075,4.589180946350098
26500,11.0,9.433981132056603,1.55515456199646
27000,12.0,7.483314773547883,3.8299520015716553
27500,8.0,7.483314773547883,2.5487852096557617
28000,7.0,6.4031242374328485,4.981366157531738
28500,8.0,6.0,2.361673593521118
29000,7.0,6.4031242374328485,3.5281882286071777
29500,14.0,6.6332495807108,1.8676066398620605
30000,10.0,6.324555320336759,3.011054277420044
30500,5.0,8.06225774829855,1.1190218925476074
31000,17.0,16.76305461424021,4.140000343322754
31500,8.0,6.0,1.3736062049865723
32000,10.0,10.0,1.5395410060882568
32500,21.0,17.0,7.6183061599731445
33000,19.0,10.44030650891055,4.910518169403076
33500,10.0,7.745966692414834,3.703186273574829
34000,14.0,8.0,8.850743293762207
34500,9.0,11.357816691600547,4.242225646972656
35000,20.0,13.416407864998739,1.9020837545394897
35500,14.0,15.620499351813308,2.395705223083496
36000,7.0,6.4031242374328485,2.4863693714141846
36500,18.0,15.362291495737216,6.47844934463501
37000,19.0,19.209372712298546,1.4857808351516724
37500,10.0,11.832159566199232,12.433859825134277
38000,17.0,16.76305461424021,7.04362678527832
38500,17.0,14.866068747318506,1.364142656326294
39000,19.0,14.45683229480096,1.9147776365280151
39500,25.0,18.027756377319946,1.6868325471878052
40000,27.0,16.15549442140351,1.7708112001419067
40500,9.0,8.306623862918075,8.689112663269043
41000,14.0,12.806248474865697,1.2192208766937256
41500,19.0,19.209372712298546,1.6570240259170532
42000,20.0,20.0,3.761259078979492
42500,20.0,23.664319132398465,7.620180130004883
43000,25.0,12.84523257866513,3.359229803085327
43500,22.0,13.2664991614216,6.738266944885254
44000,21.0,17.0,6.2817206382751465
44500,24.0,22.891046284519195,12.298203468322754
45000,17.0,16.76305461424021,6.429025650024414
45500,10.0,7.745966692414834,3.8556666374206543
46000,11.0,8.306623862918075,2.0562996864318848
46500,8.0,8.717797887081348,2.15750789642334
47000,11.0,9.433981132056603,2.179231643676758
47500,13.0,7.810249675906654,7.440502166748047
48000,13.0,20.024984394500787,3.108011245727539
48500,11.0,9.433981132056603,2.8117284774780273
49000,14.0,11.135528725660043,1.6823439598083496
49500,23.0,21.470910553583888,1.2935618162155151
50000,23.0,21.470910553583888,10.365166664123535
